LOCALIDAD;Lon;Lat;Province
GRAZALEMA;-5.32722222;36.75611111;CADIZ
SAN JOSE DEL VALLE;-5.79166667;36.59666667;CADIZ
GRAZALEMA;-5.36138889;36.75861111;CADIZ
CASTELLAR DE LA FRONTERA;-5.40833333;36.29472222;CADIZ
VEJER DE LA FRONTERA;-5.96972222;36.25527778;CADIZ
ALCALA DE LOS GAZULES;-5.71388889;36.45888889;CADIZ
CADIZ;-6.29666667;36.5325;CADIZ
CHICLANA DE LA FRONTERA;-6.18722222;36.37638889;CADIZ
CONIL DE LA FRONTERA;-6.08722222;36.28;CADIZ
CHIPIONA;-6.43416667;36.73805556;CADIZ
JEREZ DE LA FRONTERA;-6.12825;36.67702778;CADIZ
UBRIQUE;-5.4525;36.67527778;CADIZ
PUENTE GENIL;-4.77;37.39111111;CORDOBA
HORNACHUELOS;-5.26722222;37.75138889;CORDOBA
CORDOBA;-4.78311111;37.88422222;CORDOBA
PUENTE GENIL;-4.7525;37.39223972;CORDOBA
HORNACHUELOS;-5.2125;37.78472222;CORDOBA
CORDOBA;-4.77669444;37.87161111;CORDOBA
PUENTE GENIL;-4.75459722;37.402375;CORDOBA
CORDOBA;-4.77033333;37.89644444;CORDOBA
PUENTE GENIL;-4.78805556;37.38638889;CORDOBA
POSADAS;-5.14694444;37.79861111;CORDOBA
CORDOBA;-4.71583333;37.90555556;CORDOBA
POSADAS;-5.09861111;37.81444444;CORDOBA
CORDOBA;-4.76408333;37.88425;CORDOBA
PUENTE GENIL;-4.76598611;37.39227778;CORDOBA
CORDOBA;-4.78127778;37.89152778;CORDOBA
PUENTE GENIL;-4.78943611;37.37257222;CORDOBA
ALMODOVAR DEL RIO;-5.02055556;37.81166667;CORDOBA
CORDOBA;-4.82388889;37.88361111;CORDOBA
VILLAFRANCA DE CORDOBA;-4.56694444;37.99805556;CORDOBA
CORDOBA;-4.77769444;37.88555556;CORDOBA
LUCENA;-4.54083333;37.43472222;CORDOBA
ALMODOVAR DEL RIO;-5.00027778;37.80638889;CORDOBA
CORDOBA;-4.79319;37.88606611;CORDOBA
CORDOBA;-4.78819444;37.87952778;CORDOBA
BENAMEJI;-4.52777778;37.25222222;CORDOBA
LUCENA;-4.47888889;37.40277778;CORDOBA
LOS MOCHOS;-4.94485556;37.83835833;CORDOBA
CORDOBA;-4.78888889;37.88888889;CORDOBA
CORDOBA;-4.77472222;38.00694444;CORDOBA
LUCENA;-4.48542222;37.41513056;CORDOBA
LOS AMIGOS;-4.68529167;37.93306944;CORDOBA
CORDOBA;-4.9025;37.92611111;CORDOBA
LUCENA;-4.5130725;37.393425;CORDOBA
CORDOBA;-4.6625;37.94305556;CORDOBA
CORDOBA;-4.79036111;37.85930556;CORDOBA
LUCENA;-4.50827222;37.41270833;CORDOBA
CORDOBA;-4.61472222;37.95361111;CORDOBA
CORDOBA;-4.79097222;37.88222222;CORDOBA
ADAMUZ;-4.54636389;38.03960833;CORDOBA
CORDOBA;-4.77625;37.89;CORDOBA
LUCENA;-4.4975;37.36777778;CORDOBA
ADAMUZ;-4.51602778;38.03483333;CORDOBA
CORDOBA;-4.79444444;37.84916667;CORDOBA
LUCENA;-4.52277778;37.42277778;CORDOBA
ADAMUZ;-4.52389167;38.04563611;CORDOBA
CORDOBA;-4.70480556;37.90038889;CORDOBA
LUCENA;-4.47281111;37.41343333;CORDOBA
ADAMUZ;-4.51416667;38.06055556;CORDOBA
CORDOBA;-4.72416667;37.90388889;CORDOBA
ADAMUZ;-4.505;38.0725;CORDOBA
EL HIGUERON;-4.83111111;37.87472222;CORDOBA
MONTILLA;-4.63833333;37.58861111;CORDOBA
ADAMUZ;-4.49277778;38.09388889;CORDOBA
CORDOBA;-4.79538889;37.87597222;CORDOBA
ADAMUZ;-4.5075;38.115;CORDOBA
CORDOBA;-4.78966667;37.89797222;CORDOBA
Montoro;-4.506625;38.16066389;CORDOBA
CORDOBA;-4.77472222;37.8875;CORDOBA
MONTORO;-4.51722222;38.18777778;CORDOBA
CORDOBA;-4.86333333;37.86527778;CORDOBA
MONTORO;-4.54055556;38.23083333;CORDOBA
CORDOBA;-4.76236111;37.88919444;CORDOBA
PRIEGO DE CORDOBA;-4.19722222;37.43833333;CORDOBA
VILLANUEVA DE CORDOBA;-4.5675;38.25;CORDOBA
CORDOBA;-4.75497222;37.87727778;CORDOBA
VILLANUEVA DE CORDOBA;-4.57472222;38.28277778;CORDOBA
VILLANUEVA DE CORDOBA;-4.56555556;38.31277778;CORDOBA
CORDOBA;-4.75666667;37.9045;CORDOBA
VILLANUEVA DE CORDOBA;-4.54810833;38.32912222;CORDOBA
CORDOBA;-4.91166667;37.85194444;CORDOBA
VILLANUEVA DE CORDOBA;-4.50277778;38.34777778;CORDOBA
CORDOBA;-4.64361111;37.92666667;CORDOBA
CORDOBA;-4.76388889;37.94472222;CORDOBA
CONQUISTA;-4.47527778;38.40388889;CORDOBA
CORDOBA;-4.81888889;37.94527778;CORDOBA
CORDOBA;-4.80666667;37.80333333;CORDOBA
CORDOBA;-4.79694444;37.90138889;CORDOBA
CORDOBA;-4.87763889;37.85844444;CORDOBA
LA CARLOTA;-4.94433333;37.66786139;CORDOBA
LA CARLOTA;-4.91908611;37.69863333;CORDOBA
CORDOBA;-4.76555556;37.87888889;CORDOBA
PALMA DEL RIO;-5.28277778;37.69277778;CORDOBA
PALMA DEL RIO;-5.28416667;37.70222222;CORDOBA
CORDOBA;-4.78172222;37.88905556;CORDOBA
CORDOBA;-4.79194444;37.87388889;CORDOBA
CORDOBA;-4.78722222;37.91555556;CORDOBA
CORDOBA;-4.86309444;37.85098889;CORDOBA
CORDOBA;-4.75280556;37.92659444;CORDOBA
CORDOBA;-4.7225;37.91611111;CORDOBA
MONTEMAYOR;-4.70638889;37.65916667;CORDOBA
CORDOBA;-4.84222222;37.96305556;CORDOBA
CORDOBA;-4.80444444;37.75305556;CORDOBA
CORDOBA;-4.7375;37.81666667;CORDOBA
CORDOBA;-4.68083333;37.89111111;CORDOBA
CORDOBA;-4.62944444;37.90611111;CORDOBA
VILLAFRANCA DE CORDOBA;-4.53027778;37.94944444;CORDOBA
PALMA DEL RIO;-5.25638889;37.70277778;CORDOBA
POSADAS;-5.10666667;37.83694444;CORDOBA
CARDEÃ‘A;-4.31166667;38.26388889;CORDOBA
AZUEL;-4.32555556;38.35638889;CORDOBA
LUCENA;-4.66555556;37.31388889;CORDOBA
MONTALBï¿½N DE Cï¿½RDOBA;-4.74444444;37.59036111;CORDOBA
EL VISO;-4.955;38.48361111;CORDOBA
CARLOTA (LA);-4.93222222;37.67694444;CORDOBA
LA VICTORIA;-4.85944444;37.71888889;CORDOBA
ALMODOVAR DEL RIO;-4.97111111;37.82611111;CORDOBA
ALMODOVAR DEL RIO;-4.99833333;37.79166667;CORDOBA
ALMODOVAR DEL RIO;-5.015;37.76444444;CORDOBA
GUADALCAZAR;-5.01972222;37.74111111;CORDOBA
CARLOTA (LA);-4.93472222;37.63861111;CORDOBA
SANTAELLA;-4.90208333;37.60713889;CORDOBA
